event-id,visible,timestamp,long,lat,location-error-text,sensor-type,individual-taxon-canonical-name,swallow_id,individual-local-identifier,study-name
2549644513,TRUE,34:59.0,-58.47,-38.25,-38.25:-58.47:-38.25:-58.47,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644514,TRUE,44:37.0,-58.47,-38.25,-38.25:-58.47:-38.25:-58.47,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644515,TRUE,52:44.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644516,TRUE,16:13.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644517,TRUE,46:40.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644518,TRUE,18:25.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644519,TRUE,51:40.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644520,TRUE,23:25.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644521,TRUE,52:44.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644522,TRUE,26:21.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644523,TRUE,43:45.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644524,TRUE,27:41.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644525,TRUE,46:32.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644526,TRUE,33:25.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644527,TRUE,39:11.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644528,TRUE,28:25.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644529,TRUE,51:29.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644530,TRUE,27:30.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644531,TRUE,40:03.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644532,TRUE,36:24.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644533,TRUE,31:32.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644534,TRUE,37:50.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644535,TRUE,41:40.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644536,TRUE,31:13.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644537,TRUE,43:45.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644538,TRUE,26:21.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644539,TRUE,46:40.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644540,TRUE,36:21.0,-58.47,-38.25,-38.7:-58.47:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644541,TRUE,38:21.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644542,TRUE,38:04.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644543,TRUE,39:28.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644544,TRUE,43:25.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644545,TRUE,41:32.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644546,TRUE,43:25.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644547,TRUE,37:44.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644548,TRUE,36:13.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644549,TRUE,34:49.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644550,TRUE,44:08.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644551,TRUE,35:03.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644552,TRUE,47:50.0,-58.47,-38.25,-38.7:-58.67:-37.8:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644553,TRUE,36:32.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
