feature_id,DeploymentID,timestamp_gmt,latitude,longitude,sats_used,residual,timestamp_gmt,
77901,2014CA-MK10-05644,1407187980,33.9908,-119.0606,5,1.1,1407187980,
77902,2014CA-MK10-05644,1407193980,34.0167,-119.0492,6,6.6,1407193980,
77903,2014CA-MK10-05644,1407197400,33.9996,-119.033,5,3.5,1407197400,
77904,2014CA-MK10-05644,1407197820,33.9994,-119.0331,7,9.1,1407197820,
77905,2014CA-MK10-05644,1407198240,33.9991,-119.0343,4,1.4,1407198240,
77906,2014CA-MK10-05644,1407199620,34.0005,-119.0312,5,5.9,1407199620,
77907,2014CA-MK10-05644,1407201960,33.993,-119.0356,5,5.3,1407201960,
77908,2014CA-MK10-05644,1407205320,33.9828,-119.0046,5,5,1407205320,
77909,2014CA-MK10-05644,1407209160,33.9977,-118.9961,5,3.8,1407209160,
77910,2014CA-MK10-05644,1407211320,33.9982,-118.9828,7,1,1407211320,
77911,2014CA-MK10-05644,1407211740,33.9998,-118.9789,9,11.3,1407211740,
77912,2014CA-MK10-05644,1407213660,34.0108,-118.9837,7,2.9,1407213660,
77913,2014CA-MK10-05644,1407214080,34.0122,-118.9853,6,5.8,1407214080,
77914,2014CA-MK10-05644,1407215760,34.018,-118.9791,5,0.3,1407215760,
77915,2014CA-MK10-05644,1407216180,34.0205,-118.9761,6,4.7,1407216180,
77916,2014CA-MK10-05644,1407216600,34.0204,-118.9706,5,1,1407216600,
77917,2014CA-MK10-05644,1407217020,34.024,-118.9685,5,0.8,1407217020,
77918,2014CA-MK10-05644,1407217560,34.0183,-118.9586,5,0.4,1407217560,
77919,2014CA-MK10-05644,1407220080,34.0095,-118.9329,6,6.7,1407220080,
77920,2014CA-MK10-05644,1407220740,34.0067,-118.9261,5,12,1407220740,
77921,2014CA-MK10-05644,1407223200,33.9971,-118.9019,5,3.3,1407223200,
77922,2014CA-MK10-05644,1407223860,33.9962,-118.898,6,7.5,1407223860,
77923,2014CA-MK10-05644,1407225900,33.9846,-118.897,4,0.9,1407225900,
77924,2014CA-MK10-05644,1407228960,33.9656,-118.9118,4,0.6,1407228960,
77925,2014CA-MK10-05644,1407229920,33.9652,-118.9194,6,9.9,1407229920,
77926,2014CA-MK10-05644,1407231540,33.9671,-118.9299,6,3.4,1407231540,
77927,2014CA-MK10-05644,1407233460,33.9775,-118.9308,5,11,1407233460,
77928,2014CA-MK10-05644,1407236580,33.981,-118.951,7,7.2,1407236580,
77929,2014CA-MK10-05644,1407238500,33.9867,-118.9667,7,15.4,1407238500,
77930,2014CA-MK10-05644,1407239580,33.9918,-118.9791,9,10.9,1407239580,
77931,2014CA-MK10-05644,1407256500,34.0084,-119.0117,5,4.1,1407256500,
77932,2014CA-MK10-05644,1407263820,33.9938,-118.9696,6,6.7,1407263820,
77933,2014CA-MK10-05644,1407265740,33.987,-118.961,8,16.5,1407265740,
77934,2014CA-MK10-05644,1407266640,33.9939,-118.9439,8,13.1,1407266640,
77935,2014CA-MK10-05644,1407269220,33.9967,-118.8914,4,0.3,1407269220,
77936,2014CA-MK10-05644,1407269640,33.9951,-118.8814,7,10.1,1407269640,
77937,2014CA-MK10-05644,1407270840,33.9896,-118.8557,5,9.1,1407270840,
77938,2014CA-MK10-05644,1407272160,33.9723,-118.8343,5,9.8,1407272160,
77939,2014CA-MK10-05644,1407292740,33.8674,-118.5675,4,0.2,1407292740,
77940,2014CA-MK10-05644,1407307260,33.838,-118.5799,5,0.8,1407307260,
77941,2014CA-MK10-05644,1407320460,33.8323,-118.4767,6,4.6,1407320460,
77942,2014CA-MK10-05644,1407333060,33.7548,-118.476,10,7.6,1407333060,
77943,2014CA-MK10-05644,1407334080,33.9285,-118.0501,11,6609.7,1407334080,
77944,2014CA-MK10-05644,1407348060,33.8379,-118.5519,9,6.5,1407348060,
77945,2014CA-MK10-05644,1407348480,33.8406,-118.5577,9,8.9,1407348480,
77946,2014CA-MK10-05644,1407364140,33.9398,-118.6386,7,12.9,1407364140,
